Субъект,Общее количество преступлений,Количество тяжких преступлений
Центральный фед.округ,450461,133423
Белгородская область,14588,4343
Брянская область,13549,3034
Владимирская область,16254,4519
Воронежская область,30460,7716
Ивановская область,11791,2946
Калужская область,14656,4289
Костромская область,8188,2397
Курская область,13448,3645
Липецкая область,13940,3388
г. Москва,138180,47288
Московская область,74054,22138
Орловская область,8243,2068
Рязанская область,9154,2931
Смоленская область,14611,4350
Тамбовская область,13799,3473
Тверская область,21352,6258
Тульская область,15826,4503
Ярославская область,18368,4137
Северо-Западный фед.округ,197119,53815
Республика Карелия,11850,2674
Республика Коми,14797,3540
Архангельская обл. (с АО ),17472,5077
  Архангельская обл. (без а/о),16786,4893
  Ненецкий АО,686,184
Вологодская область,17411,4404
Калининградская область,12645,2882
ГУ МВД России по г.Санкт-Петерб. и Лен.обл.,91540,26374
  Ленинградская область,28569,7925
  г. Санкт-Петербург,62971,18449
Мурманская область,12075,3383
Новгородская  область,10615,3129
Псковская область,8714,2352
Северо-Кавказский фед.округ,72492,21297
Ставропольский край,33569,9726
Республика Ингушетия,2233,888
Республика Дагестан,14357,4240
Кабардино-Балкарская Респ.,7416,2070
Респ. Сев.Осетия - Алания,8065,2469
Карачаево-Черкесская Респ.,4436,1233
Чеченская Республика,2416,671
Южный фед.округ,217597,54519
Краснодарский край,77125,19698
Астраханская область,13062,3448
Волгоградская область,36031,9568
Ростовская область,57250,13112
Республика Адыгея,4388,1018
Республика Калмыкия,2693,662
Республика Крым,20779,5429
г. Севастополь,6269,1584
Приволжский фед.округ,378486,102452
Республика Башкортостан,50751,13237
Республика Марий Эл,7741,2084
Республика Мордовия,8107,2114
Республика Татарстан,52189,14843
Удмуртская Республика,24583,7203
Чувашская Республика,12730,3665
Кировская область,18519,5420
Нижегородская область,39404,10411
Оренбургская область,21742,5433
Пензенская область,13274,3910
Пермский край,41027,10484
Самарская область,47060,12114
Саратовская область,29200,8181
Ульяновская область,12159,3353
Уральский фед.округ,178746,46235
Курганская область,13456,3355
Свердловская область,51822,12358
Тюменская область (с а/о),50624,15266
  Тюменская обл. (без а/о),23591,6906
  Ханты-Мансийский АО - Югра,20376,6177
  Ямало-Ненецкий АО,6657,2183
Челябинская область,62844,15256
Сибирский фед.округ,278840,72281
Республика Алтай,4586,1016
Республика Тыва,6619,1589
Республика Хакасия,9493,2374
Алтайский край,39177,10626
Красноярский край,45561,12089
Иркутская область,37867,9728
Кемеровская область - Кузбасс,47071,11951
Новосибирская область,46814,11239
Омская область,23074,7296
Томская область,18578,4373
Дальневосточный фед.округ,145304,37901
Республика Бурятия,19955,5013
Республика Саха (Якутия),13000,3250
Забайкальский край,20816,5122
Приморский край,33604,9274
Хабаровский край,21312,5518
Камчатский край,5450,1438
Амурская область,16253,4316
Магаданская область,2386,778
Сахалинская область,8511,2120
Еврейская АО,3164,809
Чукотский АО,853,263
"ФТ ""Сириус""",819,349
Всего по России ,1966795,536997
