Region,birthrate
Российская Федерация,"1,47"
Центральный федеральный округ,"1,34"
Белгородская область,"1,24"
Брянская область,"1,31"
Владимирская область,"1,24"
Воронежская область,"1,26"
Ивановская область,"1,35"
Калужская область,"1,4"
Костромская область,"1,64"
Курская область,"1,37"
Липецкая область,"1,32"
Московская область,"1,37"
Орловская область,"1,29"
Рязанская область,"1,32"
Смоленская область,"1,19"
Тамбовская область,"1,27"
Тверская область,"1,38"
Тульская область,"1,2"
Ярославская область,"1,39"
Город Москва столица Российской Федерации город федерального значения,"1,36"
Северо-Западный федеральный округ,"1,34"
Республика Карелия,"1,65"
Республика Коми,"1,66"
Архангельская область,"1,58"
Ненецкий автономный округ (Архангельская область),"2,17"
Архангельская область (кроме Ненецкого автономного округа),"1,55"
Вологодская область,"1,51"
Калининградская область,"1,38"
Ленинградская область,"0,96"
Мурманская область,"1,54"
Новгородская область,"1,38"
Псковская область,"1,44"
Город Санкт-Петербург город федерального значения,"1,31"
Южный федеральный округ (с 29.07.2016),"1,44"
Республика Адыгея (Адыгея),"1,31"
Республика Калмыкия,"1,54"
Республика Крым,"1,55"
Краснодарский край,"1,6"
Астраханская область,"1,73"
Волгоградская область,"1,2"
Ростовская область,"1,32"
Город федерального значения Севастополь,"1,09"
Северо-Кавказский федеральный округ,"1,78"
Республика Дагестан,"1,86"
Республика Ингушетия,"1,98"
Кабардино-Балкарская Республика,"1,54"
Карачаево-Черкесская Республика,"1,47"
Республика Северная Осетия-Алания,"1,67"
Чеченская Республика,"2,59"
Ставропольский край,"1,35"
Приволжский федеральный округ,"1,45"
Республика Башкортостан,"1,52"
Республика Марий Эл,"1,53"
Республика Мордовия,"1,14"
Республика Татарстан (Татарстан),"1,52"
Удмуртская Республика,"1,53"
Чувашская Республика - Чувашия,"1,51"
Пермский край,"1,57"
Кировская область,"1,59"
Нижегородская область,"1,39"
Оренбургская область,"1,6"
Пензенская область,"1,24"
Самарская область,"1,37"
Саратовская область,"1,18"
Ульяновская область,"1,4"
Уральский федеральный округ,"1,62"
Курганская область,"1,8"
Свердловская область,"1,6"
Тюменская область,"1,74"
Ханты-Мансийский автономный округ - Югра (Тюменская область),"1,71"
Ямало-Ненецкий автономный округ (Тюменская область),"1,91"
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"1,73"
Челябинская область,"1,47"
Сибирский федеральный округ,"1,53"
Республика Алтай,"2,17"
Республика Тыва,"2,77"
Республика Хакасия,"1,56"
Алтайский край,"1,43"
Красноярский край,"1,48"
Иркутская область,"1,74"
Кемеровская область - Кузбасс,"1,36"
Новосибирская область,"1,49"
Омская область,"1,54"
Томская область,"1,31"
Дальневосточный федеральный округ,"1,67"
Республика Бурятия,"1,91"
Забайкальский край,"1,79"
Республика Саха (Якутия),"1,79"
Камчатский край,"1,71"
Приморский край,"1,49"
Хабаровский край,"1,56"
Амурская область,"1,54"
Магаданская область,"1,47"
Сахалинская область,"1,9"
Еврейская автономная область,"1,71"
Чукотский автономный округ,"1,75"
